ID,Typ der Anforderung,Anforderung,Kapitel/Referenz
FR-001,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, eine Angebotsanfrage (RFP) für eine Gruppenreise zu erstellen.",Sect 5.1
FR-002,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, in einer RFP die Anzahl der Reisenden, gewünschte Zimmerkonfigurationen, Reisedaten und spezielle Anforderungen (z.B. Proberaum) zu spezifizieren.",Sect 5.1; Sect 8.1
FR-003,Funktional,"Das System muss einem Großformat-Immobilienverwalter die Möglichkeit bieten, eine Angebotsanfrage (RFP) zu empfangen.",Sect 8.2
FR-004,Funktional,"Das System muss einem Großformat-Immobilienverwalter die Möglichkeit bieten, ein individuelles Angebot als Antwort auf eine RFP zu erstellen.",Sect 5.1; Sect 8.2
FR-005,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, einen Zimmerblock bei einem Anbieter zu reservieren.",Sect 5.1
FR-006,Funktional,"Das System muss einem Großformat-Immobilienverwalter die Möglichkeit bieten, einen Zimmerblock für eine Anfrage zu konfigurieren und temporär zu blockieren.",Sect 8.2
FR-007,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, eine digitale Zimmerliste zu erstellen.",Sect 5.1
FR-008,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, Gruppenmitglieder spezifischen Zimmern und Betten in der Zimmerliste zuzuweisen.",Sect 5.1
FR-009,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, die Zimmerliste sicher mit dem Immobilienverwalter zu teilen.",Sect 5.1
FR-010,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, einen automatisierten Prozess für geteilte Zahlungen (Split Payments) für eine Reise zu initiieren.",Sect 5.2
FR-011,Funktional,"Das System muss fähig sein, individuelle Zahlungslinks für jedes Gruppenmitglied (oder dessen Eltern) zu generieren.",Sect 5.2
FR-012,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, einen automatisierten Ratenzahlungsplan (Installment Plan) mit spezifischen Fälligkeitsdaten zu definieren.",Sect 5.2
FR-013,Funktional,"Das System muss fähig sein, Zahlungen von Gruppenmitgliedern (oder Eltern) über verschiedene Zahlungsmethoden zu akzeptieren. [FRAGE AN AUFTRAGGEBER: Welche Zahlungsmethoden sind erforderlich (Kreditkarte, PayPal, Überweisung)?]",Sect 5.2
FR-014,Funktional,"Das System muss fähig sein, automatische Zahlungserinnerungen an Mitglieder zu senden, deren Zahlung überfällig ist.",Sect 5.2
FR-015,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, ein Finanz-Dashboard anzuzeigen.",Sect 5.2
FR-016,Funktional,"Falls das Finanz-Dashboard angezeigt wird, muss das System dem Gruppen-Organisator den Gesamtbetrag, den bereits bezahlten Betrag, den offenen Betrag und den Zahlungsstatus jedes einzelnen Mitglieds (bezahlt, ausstehend, überfällig) anzeigen.",Sect 5.2
FR-017,Funktional,"Das System muss fähig sein, eine zentrale, detaillierte Gruppenrechnung für institutionelle Zwecke zu generieren.",Sect 5.2
FR-018,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, einen kollaborativen digitalen Reiseplan zu erstellen und zu bearbeiten.",Sect 6.1
FR-019,Funktional,"Falls der Reiseplan bearbeitet wird, muss das System die Änderungen sofort für alle Gruppenmitglieder mit App-Zugang synchronisieren.",Sect 6.1
FR-020,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, Dokumente (z.B. Tickets, Karten) an einzelne Punkte im Reiseplan anzuhängen.",Sect 6.1
FR-021,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, Bodentransport (z.B. Charterbusse) über eine integrierte Schnittstelle zu suchen und zu buchen.",Sect 6.2
FR-022,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, Gruppen-Catering (z.B. Box-Lunches) über eine integrierte Schnittstelle zu suchen und zu buchen.",Sect 6.2
FR-023,Funktional,"Das System muss einem Gruppen-Organisator die Möglichkeit bieten, Gruppen-Aktivitäten (z.B. Museumstickets) über eine integrierte Schnittstelle zu suchen und zu buchen.",Sect 6.2
