ID,Titel,User Story,Beschreibung,Szenarien,Akzeptanzkriterien,NFR
US-001,RFP erstellen,"In der Rolle als Gruppen-Organisator möchte ich eine Angebotsanfrage (RFP) erstellen, um individuelle Angebote von mehreren Anbietern zu erhalten.",Der Organisator füllt ein Formular mit Reisedaten, Gruppengröße, Zimmeranforderungen (X mal 4-Bett, Y mal 2-Bett) und Sonderwünschen (Proberaum, Catering-Bedarf) aus.,"Szenario 1: (Happy Path) Lehrer erstellt RFP für 40 Schüler (10x 4-Bett) und 4 Betreuer (4x 1-Bett) für eine Chorreise, inkl. Wunsch nach 'Proberaum'.
Szenario 2: Organisator speichert eine RFP als Entwurf, um sie später zu vervollständigen.
Szenario 3: Organisator versucht, eine RFP ohne Reisedatum oder Gruppengröße zu senden (Fehlermeldung).","FR-001, FR-002",
US-002,RFP beantworten,"In der Rolle als Großformat-Immobilienverwalter möchte ich eine Angebotsanfrage (RFP) in meinem Dashboard sehen und beantworten, um ein individuelles Angebot abzugeben.",Der Verwalter sieht die Anforderungen (z.B. 10x 4-Bett Zimmer) und kann ein Angebot erstellen, z.B. mit einem Preis pro Person und Anmerkungen (z.B. 'Proberaum verfügbar für 50€/Stunde').,"Szenario 1: Verwalter erhält RFP, prüft Verfügbarkeit und sendet ein Angebot mit 45€/Person/Nacht.
Szenario 2: Verwalter lehnt RFP ab, da keine Verfügbarkeit besteht.
Szenario 3: Verwalter sendet ein alternatives Angebot (z.B. 'Nur 8x 4-Bett verfügbar, biete stattdessen 2x 8-Bett an').","FR-003, FR-004",
US-003,Finanzierung einrichten,"In der Rolle als Gruppen-Organisator möchte ich nach Annahme eines Angebots die Finanzierung der Reise einrichten, um die Kosten automatisch auf alle Mitglieder zu verteilen.",Der Organisator legt die Gesamtkosten fest und wählt 'Split Payment'. Er kann auch einen Ratenplan definieren (z.B. 50% Anzahlung bis Datum X, 50% Rest bis Datum Y).,"Szenario 1: Organisator richtet Split Payment für 44 Personen ein.
Szenario 2: Organisator richtet einen Ratenplan mit 2 Fälligkeitsdaten ein.","FR-010, FR-012",
US-004,Anteil bezahlen,"In der Rolle als Gruppenmitglied (Elternteil) möchte ich einen Zahlungslink erhalten und meinen Anteil (oder den meines Kindes) einfach online bezahlen, um meinen Beitrag zur Reise zu leisten.","Das Mitglied/Elternteil klickt auf einen Link (per E-Mail [ANNAHME]), sieht den fälligen Betrag (ggf. Raten) und bezahlt über eine Bezahlmaske.","Szenario 1: Elternteil bezahlt den Gesamtbetrag für ein Kind auf einmal per Kreditkarte.
Szenario 2: Elternteil bezahlt die erste Rate per PayPal.
Szenario 3: Elternteil klickt auf Link, aber die Zahlungsfrist für die Rate ist bereits abgelaufen.","FR-011, FR-013, ???-US-001",
US-005,Finanzen überwachen,"In der Rolle als Gruppen-Organisator möchte ich ein Finanz-Dashboard einsehen, um in Echtzeit zu verfolgen, wer bereits bezahlt hat und welche Beträge noch offen sind.","Das Dashboard zeigt eine Liste aller Mitglieder und deren Zahlungsstatus (z.B. 'Bezahlt', 'Ausstehend', 'Überfällig') sowie die Gesamtsumme.","Szenario 1: Organisator öffnet Dashboard und sieht, dass 30 von 44 Mitgliedern bezahlt haben.
Szenario 2: Organisator filtert die Liste, um nur die Mitglieder mit überfälligen Zahlungen zu sehen.
Szenario 3: Organisator löst manuell eine Erinnerungs-Mail an alle säumigen Zahler aus.","FR-014, FR-015, FR-016",
US-006,Reiseplan erstellen,"In der Rolle als Gruppen-Organisator möchte ich einen detaillierten, kollaborativen Reiseplan erstellen, um sicherzustellen, dass alle Mitglieder wissen, wann sie wo sein müssen.","Organisator fügt Zeitblöcke, Orte, Aktivitäten und Notizen hinzu (z.B. '09:00 Treffen am Bus', '14:00 Museumsbesuch'). Er kann auch Dokumente (Tickets) anhängen.","Szenario 1: Organisator fügt einen neuen Programmpunkt '18:00 Abendessen' hinzu. Alle Mitglieder mit der App sehen die Änderung sofort.
Szenario 2: Organisator hängt die PDF-Tickets für das Museum an den Programmpunkt '14:00 Museumsbesuch' an.","FR-018, FR-019, FR-020",NFR-006
US-007,Transport buchen,"In der Rolle als Gruppen-Organisator möchte ich Transportmittel (z.B. einen Charterbus) direkt über die Plattform buchen, um die Logistik zu zentralisieren.","Organisator nutzt eine Suchmaske (ähnlich wie bei der Unterkunft), um Busunternehmen für die benötigte Strecke und Gruppengröße zu finden und zu buchen.","Szenario 1: Organisator sucht einen Bus für 44 Personen von 'Hotel' zu 'Museum' und zurück, erhält 3 Angebote und bucht eines.
Szenario 2: Die Kosten für den Bus werden [ANNAHME] der Gesamtrechnung der Reise hinzugefügt und auf alle Mitglieder umgelegt.","FR-021, FR-022, FR-023",NFR-009
US-008,Digitale Genehmigung einholen,"In der Rolle als Gruppen-Organisator möchte ich digitale Genehmigungsformulare (z.B. Einverständnis der Eltern) versenden und verwalten, um den Papierkram zu eliminieren.","Organisator wählt eine Vorlage (z.B. 'Medizinische Notfallinfo'), passt sie an und sendet sie an die Eltern. Das System trackt, wer unterschrieben hat.","Szenario 1: Organisator sendet 'Einverständniserklärung' an alle Eltern.
Szenario 2: Elternteil öffnet die E-Mail, liest das Formular und signiert digital.
Szenario 3: Organisator sieht im Dashboard, dass 5 von 40 Genehmigungen noch fehlen und sendet eine Erinnerung.","FR-024, FR-025, FR-026, FR-027",NFR-004
US-009,Gruppe live sehen,"In der Rolle als Betreuer möchte ich auf einer Karte den Live-Standort meiner zugewiesenen Gruppenmitglieder sehen, um die Sicherheit und den Überblick zu gewährleisten.","Der Betreuer öffnet die App und sieht auf einer Karte die GPS-Standorte (Avatare) der Mitglieder, die er betreut.","Szenario 1: Betreuer im Museum prüft auf der Karte, ob alle Mitglieder seiner Gruppe im richtigen Gebäudeteil sind.
Szenario 2: (Privacy) Mitglied (oder Elternteil) muss dem Standort-Tracking explizit zustimmen.","FR-028",NFR-005, NFR-008
US-010,Gruppe informieren,"In der Rolle als Gruppen-Organisator möchte ich eine Massen-Alarm-Nachricht an alle Mitglieder senden, um wichtige, kurzfristige Anweisungen zu geben.","Organisator tippt eine Nachricht (z.B. 'Busabfahrt in 10 Min an Tor 5') und sendet sie als Push-Notification an alle.","Szenario 1: Der Bus steht im Stau. Organisator sendet 'Treffen 30 Min später' an alle.
Szenario 2: Betreuer sendet eine Nachricht nur an seine Untergruppe ('Gruppe A trifft sich am Brunnen').","FR-034, FR-035",
